,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-1.319,21.69,21.89,22.03,21.41,21.98,3234898,2.80807,70034209,74.793,3.768,624672.0,249868.8
1,603998,方盛制药,-1.993,14.26,14.35,14.44,14.1,14.55,4467923,1.65984,63667916,89.125,6.525,617467.58272,383846.71572
2,603997,继峰股份,-0.137,14.58,14.59,14.68,14.0,14.6,8126380,4.75227,118097805,24.712,3.82,918540.0,249318.0
3,603996,中新科技,-0.939,16.88,17.19,17.19,16.77,17.04,1217117,1.17852,20601068,43.282,3.626,506653.2,174328.2
4,603993,洛阳钼业,0.201,4.98,4.95,4.99,4.85,4.97,136076891,1.05048,670506508,83.0,4.35,8409824.9521,6450957.8881
5,603991,至正股份,-0.325,42.89,43.68,43.68,40.78,43.03,3251559,17.38802,137355171,64.015,7.43,319680.606422,80204.3
6,603990,麦迪科技,5.432,40.76,39.59,41.5,39.59,38.66,2377776,11.88888,96969669,54.347,8.323,326080.0,81520.0
7,603989,艾华集团,2.653,39.08,38.18,39.12,37.91,38.07,2024549,2.39947,78461722,44.409,6.31,1172400.0,329737.5
8,603988,中电电机,-0.447,64.62,64.89,65.0,64.46,64.91,95700,0.42723,6188318,215.4,7.893,516960.0,144748.8
9,603987,康德莱,-0.309,16.12,16.27,16.28,16.02,16.17,1372750,1.73986,22168175,26.0,2.915,508481.22,127186.8
10,603986,兆易创新,-0.68,83.23,83.8,84.2,82.68,83.8,935518,1.87104,77859894,39.313,6.184,1664600.0,416150.0
11,603985,恒润股份,0.795,48.17,47.92,48.46,47.36,47.79,1440305,7.20153,69098663,30.514,6.297,385360.0,96340.0
12,603980,吉华集团,-8.308,30.24,31.51,32.49,30.0,32.98,35236932,35.23693,1098272080,31.632,5.929,1512000.0,302400.0
13,603979,金诚信,-0.173,17.35,17.44,17.46,17.25,17.38,2673650,1.48598,46353811,41.31,2.093,780750.0,312169.528
14,603977,国泰集团,-1.264,17.18,17.47,17.64,17.03,17.4,3063224,5.54129,52804566,29.119,3.811,379815.44,94971.04
15,603969,银龙股份,-0.583,22.15,21.8,22.45,21.66,22.28,34614429,22.67858,762663130,61.528,5.45,886000.0,338076.5575
16,603968,醋化股份,0.137,21.99,21.99,22.25,21.66,21.96,1238673,0.90679,27102330,30.542,3.425,449651.52,300383.4
17,603966,法兰泰克,-0.602,24.77,24.77,25.27,24.55,24.92,3396461,8.49115,84080378,52.702,5.099,396320.0,99080.0
18,603960,克来机电,1.25,40.49,40.15,40.6,39.61,39.99,897180,4.4859,36000417,67.483,7.852,323920.0,80980.0
19,603959,百利科技,-4.081,18.57,18.7,18.98,18.3,19.36,3471343,3.26254,64664925,35.038,4.705,415968.0,197584.8
20,603958,哈森股份,-9.986,33.26,33.26,38.79,33.26,36.95,26580690,48.89945,904077069,78.629,5.979,722939.36,180794.195796
21,603955,大千生态,-0.394,47.99,47.58,48.35,47.0,48.18,2145005,9.86209,101984647,44.951,4.241,417513.0,104378.25
22,603939,益丰药房,-0.513,31.01,31.12,31.17,30.52,31.17,691996,0.44356,21273156,46.772,3.71,1124716.13446,483780.808
23,603936,博敏电子,0.037,26.85,26.95,26.98,26.31,26.84,930547,1.65873,24797839,84.169,4.748,449334.75,150628.5
24,603929,亚翔集成,-0.446,22.32,22.42,22.6,22.11,22.42,1318646,2.47123,29348682,21.67,5.044,476219.52,119099.52
25,603928,兴业股份,1.375,19.17,19.05,19.38,18.82,18.91,3021180,5.9944,57956279,28.191,3.646,386467.2,96616.8
26,603926,铁流股份,2.308,35.91,35.37,36.75,35.03,35.1,3566539,11.88846,128264487,28.96,6.138,430920.0,107730.0
27,603920,世运电路,-0.778,22.95,23.18,23.18,22.75,23.13,3942558,4.43982,90439997,27.0,7.451,922131.0,203796.0
28,603919,金徽酒,0.209,19.14,19.11,19.2,19.0,19.1,1051016,0.90731,20049167,22.518,3.053,696696.0,221714.7933
29,603918,金桥信息,0.585,27.52,27.67,27.82,27.33,27.36,547521,0.4439,15103543,172.0,9.814,487998.4,339442.688
30,603909,合诚股份,-4.693,40.82,38.55,42.86,38.55,42.83,7240261,28.96104,284184188,61.746,6.941,408200.0,102050.0
31,603908,牧高笛,-0.549,48.9,49.29,49.45,48.45,49.17,746553,4.47306,36528615,51.474,7.305,326114.1,81614.1
32,603906,龙蟠科技,4.037,23.45,22.68,23.55,22.53,22.54,7425212,14.27925,171343782,41.14,4.323,487760.0,121940.0
33,603903,中持股份,-0.874,52.16,52.16,52.6,51.22,52.62,3145538,12.2827,163123911,85.508,8.093,534316.608,133579.152
34,603901,永创智能,-0.575,12.1,12.2,12.25,11.98,12.17,1718254,1.11575,20733168,55.0,5.302,484000.0,186340.0
35,603900,通灵珠宝,0.0,32.27,32.27,32.4,32.01,32.27,1304034,2.14483,41941285,27.347,3.677,784792.2012,196198.0503
36,603899,晨光文具,0.58,17.33,17.22,17.45,17.18,17.23,1673285,0.747,28934155,32.344,6.142,1594360.0,388192.0
37,603898,好莱客,-0.57,34.86,34.99,35.17,34.4,35.06,825154,0.9271,28709448,40.535,8.796,1045451.4,310267.944
38,603896,寿仙谷,0.801,41.53,41.2,41.83,40.5,41.2,5914665,16.92322,244044094,53.935,9.959,580589.4,145147.35
39,603889,新澳股份,-0.195,15.33,15.36,15.54,15.24,15.36,4556321,3.21001,69980086,30.66,4.066,498470.28,217595.78295
40,603888,新华网,-1.394,84.89,86.6,86.68,84.5,86.09,1158629,2.2323,98818297,49.935,7.222,1762416.09482,440604.023704
41,603887,城地股份,-0.842,34.16,34.5,34.85,33.84,34.45,588651,2.39289,20154016,49.507,4.8,335109.6,84033.6
42,603886,元祖股份,0.101,19.81,19.83,20.01,19.57,19.79,2204736,3.67475,43604349,28.71,4.428,475440.0,118853.749945
43,603885,吉祥航空,0.064,15.64,15.79,15.79,15.55,15.63,3162249,0.58886,49342522,15.333,2.494,2810529.07803,839889.078028
