,code,name,date,weight
0,600291,西水股份,2017-06-01,0.16
1,002408,齐翔腾达,2017-06-01,0.24
2,000869,张 裕Ａ,2017-06-01,0.13
3,603868,飞科电器,2017-06-01,0.07
4,600809,山西汾酒,2017-06-01,0.22
5,600260,凯乐科技,2017-06-01,0.28
6,000636,风华高科,2017-06-01,0.13
7,600329,中新药业,2017-06-01,0.13
8,600436,片仔癀,2017-06-01,0.46
9,000581,威孚高科,2017-06-01,0.35
10,601231,环旭电子,2017-06-01,0.24
11,000703,恒逸石化,2017-06-01,0.18
12,600596,新安股份,2017-06-01,0.11
13,000418,小天鹅Ａ,2017-06-01,0.29
14,000596,古井贡酒,2017-06-01,0.15
15,000830,鲁西化工,2017-06-01,0.17
16,000999,华润三九,2017-06-01,0.33
17,002056,横店东磁,2017-06-01,0.15
18,002271,东方雨虹,2017-06-01,0.49
19,600216,浙江医药,2017-06-01,0.15
20,600511,国药股份,2017-06-01,0.28
21,002572,索菲亚,2017-06-01,0.58
22,002002,鸿达兴业,2017-06-01,0.19
23,600335,国机汽车,2017-06-01,0.09
24,002508,老板电器,2017-06-01,0.56
25,600266,北京城建,2017-06-01,0.38
26,603698,航天工程,2017-06-01,0.08
27,002254,泰和新材,2017-06-01,0.15
28,603766,隆鑫通用,2017-06-01,0.2
29,002030,达安基因,2017-06-01,0.27
30,600062,华润双鹤,2017-06-01,0.26
31,600651,飞乐音响,2017-06-01,0.15
32,600639,浦东金桥,2017-06-01,0.17
33,600743,华远地产,2017-06-01,0.11
34,600557,康缘药业,2017-06-01,0.18
35,601233,桐昆股份,2017-06-01,0.12
36,600600,青岛啤酒,2017-06-01,0.26
37,600201,生物股份,2017-06-01,0.56
38,600161,天坛生物,2017-06-01,0.33
39,603568,伟明环保,2017-06-01,0.08
40,002242,九阳股份,2017-06-01,0.16
41,002444,巨星科技,2017-06-01,0.22
42,600851,海欣股份,2017-06-01,0.16
43,600993,马应龙,2017-06-01,0.17
44,600967,XD内蒙一,2017-06-01,0.22
45,300026,红日药业,2017-06-01,0.29
46,002261,拓维信息,2017-06-01,0.21
47,000825,太钢不锈,2017-06-01,0.25
48,002311,海大集团,2017-06-01,0.36
49,000877,天山股份,2017-06-01,0.17
50,002342,巨力索具,2017-06-01,0.22
51,600298,安琪酵母,2017-06-01,0.26
52,600282,南钢股份,2017-06-01,0.17
53,600056,中国医药,2017-06-01,0.37
54,000816,智慧农业,2017-06-01,0.22
55,002463,沪电股份,2017-06-01,0.14
56,600628,新世界,2017-06-01,0.12
57,600073,上海梅林,2017-06-01,0.16
58,002439,启明星辰,2017-06-01,0.3
59,600418,江淮汽车,2017-06-01,0.27
60,002416,爱施德,2017-06-01,0.08
61,002701,奥瑞金,2017-06-01,0.25
