,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-2.275,21.48,21.89,22.03,21.41,21.98,2467620,2.14203,53497875,74.069,3.731,618624.0,247449.6
1,603998,方盛制药,-2.68,14.16,14.35,14.44,14.1,14.55,3356690,1.24702,47925078,88.5,6.48,613137.51552,381154.94352
2,603997,继峰股份,-0.205,14.57,14.59,14.68,14.0,14.6,6489932,3.79528,94308837,24.695,3.817,917910.0,249147.0
3,603996,中新科技,-0.763,16.91,17.19,17.19,16.85,17.04,616300,0.59676,10482047,43.359,3.632,507553.65,174638.025
4,603993,洛阳钼业,-1.408,4.9,4.95,4.99,4.85,4.97,84991192,0.65611,417834451,81.667,4.28,8274727.36251,6347328.04251
5,603991,至正股份,-4.88,40.93,43.68,43.68,40.82,43.03,1781218,9.52523,74900591,61.09,7.09,305071.746814,76539.1
6,603990,麦迪科技,4.009,40.21,39.59,41.5,39.59,38.66,1993144,9.96572,81368408,53.613,8.21,321680.0,80420.0
7,603989,艾华集团,2.312,38.95,38.18,39.1,37.91,38.07,1502274,1.78047,58094845,44.261,6.289,1168500.0,328640.625
8,603988,中电电机,-0.416,64.64,64.89,65.0,64.46,64.91,46400,0.20714,3001682,215.467,7.895,517120.0,144793.6
9,603987,康德莱,-0.618,16.07,16.27,16.28,16.05,16.17,947500,1.20089,15327644,25.919,2.906,506904.045,126792.3
10,603986,兆易创新,-0.955,83.0,83.8,84.2,82.76,83.8,691231,1.38246,57576909,39.205,6.167,1660000.0,415000.0
11,603985,恒润股份,-0.063,47.76,47.92,48.46,47.36,47.79,1033451,5.16726,49611324,30.255,6.243,382080.0,95520.0
12,603980,吉华集团,-7.216,30.6,31.51,32.49,30.6,32.98,24090680,24.09068,760164636,32.008,6.0,1530000.0,306000.0
13,603979,金诚信,-0.46,17.3,17.44,17.46,17.3,17.38,1680133,0.9338,29173466,41.19,2.087,778500.0,311269.904
14,603977,国泰集团,-1.264,17.18,17.47,17.64,17.14,17.4,1935324,3.50095,33485169,29.119,3.811,379815.44,94971.04
15,603969,银龙股份,0.314,22.35,21.8,22.45,21.66,22.28,25425583,16.65826,558835239,62.083,5.499,894000.0,341129.1675
16,603968,醋化股份,-0.592,21.83,21.99,22.25,21.66,21.96,832819,0.60968,18211116,30.319,3.4,446379.84,298197.8
17,603966,法兰泰克,-0.321,24.84,24.77,25.27,24.55,24.92,2084281,5.2107,51721184,52.851,5.114,397440.0,99360.0
18,603960,克来机电,-0.625,39.74,40.15,40.6,39.61,39.99,660080,3.3004,26498397,66.233,7.707,317920.0,79480.0
19,603959,百利科技,-5.165,18.36,18.7,18.98,18.3,19.36,2744581,2.57949,51204293,34.642,4.652,411264.0,195350.4
20,603958,哈森股份,-9.986,33.26,33.26,33.33,33.26,36.95,9514933,17.50425,316480851,78.629,5.979,722939.36,180794.195796
21,603955,大千生态,-2.076,47.18,47.58,48.35,47.0,48.18,1595437,7.33534,75851567,44.193,4.17,410466.0,102616.5
22,603939,益丰药房,-1.508,30.7,31.12,31.17,30.52,31.17,511369,0.32778,15701395,46.305,3.673,1113472.60006,478944.56
23,603936,博敏电子,-1.23,26.51,26.95,26.98,26.51,26.84,466000,0.83066,12433882,83.103,4.688,443644.85,148721.1
24,603929,亚翔集成,-0.847,22.23,22.42,22.6,22.11,22.42,913919,1.71274,20346261,21.583,5.024,474299.28,118619.28
25,603928,兴业股份,1.322,19.16,19.05,19.38,18.82,18.91,2357080,4.67675,45250461,28.176,3.645,386265.6,96566.4
26,603926,铁流股份,1.453,35.61,35.37,36.75,35.03,35.1,2825826,9.41942,101742653,28.718,6.087,427320.0,106830.0
27,603920,世运电路,-1.427,22.8,23.18,23.18,22.75,23.13,2734838,3.07977,62825835,26.824,7.403,916104.0,202464.0
28,603919,金徽酒,-0.262,19.05,19.11,19.2,19.02,19.1,590986,0.51018,11283079,22.412,3.039,693420.0,220672.24725
29,603918,金桥信息,0.877,27.6,27.67,27.82,27.33,27.36,372712,0.30217,10288883,172.5,9.842,489417.0,340429.44
30,603909,合诚股份,-9.993,38.55,38.55,38.55,38.55,42.83,227200,0.9088,8758560,58.312,6.555,385500.0,96375.0
31,603908,牧高笛,-0.956,48.7,49.29,49.45,48.45,49.17,467300,2.79988,22931682,51.263,7.275,324780.3,81280.3
32,603906,龙蟠科技,1.508,22.88,22.68,22.96,22.53,22.54,3029403,5.82578,69143817,40.14,4.218,475904.0,118976.0
33,603903,中持股份,-0.95,52.12,52.16,52.6,51.22,52.62,2169850,8.47283,112393778,85.443,8.087,533906.856,133476.714
34,603901,永创智能,-1.068,12.04,12.2,12.25,12.0,12.17,1242254,0.80666,15007790,54.727,5.276,481600.0,185416.0
35,603900,通灵珠宝,-0.713,32.04,32.27,32.4,32.01,32.27,969359,1.59437,31180724,27.153,3.65,779198.7024,194799.6756
36,603899,晨光文具,0.696,17.35,17.22,17.45,17.18,17.23,1236585,0.55205,21378387,32.381,6.149,1596200.0,388640.0
37,603898,好莱客,-0.998,34.71,34.99,35.17,34.54,35.06,449830,0.5054,15697327,40.36,8.758,1040952.9,308932.884
38,603896,寿仙谷,0.413,41.37,41.2,41.83,40.5,41.2,4211109,12.04895,173744158,53.727,9.921,578352.6,144588.15
39,603889,新澳股份,0.0,15.36,15.36,15.54,15.25,15.36,3237721,2.28103,49816753,30.72,4.074,499445.76,218021.6064
40,603888,新华网,-1.777,84.56,86.6,86.68,84.5,86.09,753186,1.45114,64410510,49.741,7.194,1755564.90726,438891.226816
41,603887,城地股份,-1.567,33.91,34.5,34.85,33.88,34.45,357000,1.45122,12283677,49.145,4.764,332657.1,83418.6
42,603886,元祖股份,-0.606,19.67,19.83,20.01,19.6,19.79,1443000,2.40513,28618344,28.507,4.397,472080.0,118013.794115
43,603885,吉祥航空,-0.384,15.57,15.79,15.79,15.55,15.63,2505980,0.46665,39117445,15.265,2.483,2797949.98369,836129.983689
44,603883,XD老百姓,-1.426,46.31,47.2,47.3,46.0,46.98,800518,0.9516,37009780,41.721,6.297,1236477.0,389574.729071
45,603881,数据港,-1.727,50.63,51.76,51.78,50.39,51.52,2861839,5.43559,145530109,101.26,13.115,1066199.49,266566.95
46,603879,永悦科技,9.979,15.65,15.65,15.65,15.65,14.23,30760,0.08544,481394,35.568,6.248,225360.0,56340.0
47,603878,武进不锈,-0.879,22.56,22.9,22.95,22.53,22.76,1081300,2.14119,24538926,28.557,2.337,455712.0,113928.0
48,603877,太平鸟,-0.656,27.27,27.59,27.67,27.18,27.45,1279200,2.32582,35044106,26.735,4.125,1295325.0,149985.0
49,603869,北部湾旅,-1.355,26.93,27.42,27.44,26.78,27.3,655588,0.89963,17746510,39.603,2.638,939335.279724,196246.66584
50,603868,飞科电器,3.712,60.91,58.73,61.78,58.73,58.73,2384167,5.46827,144524262,41.719,12.001,2653239.6,265567.6
51,603866,桃李面包,-1.983,35.1,36.17,36.17,34.91,35.81,436160,0.73936,15433336,36.186,7.423,1579942.26,207059.1471
52,603861,白云电器,0.0,24.27,0.0,0.0,0.0,24.27,0,0.0,0,59.631,5.158,992885.7,293874.052224
53,603859,能科股份,-3.937,33.18,34.63,34.97,33.05,34.54,2896388,10.20214,98163381,70.371,5.902,376792.08,94198.02
54,603858,步长制药,-0.435,73.18,73.7,73.82,73.13,73.5,486873,0.69753,35768644,25.553,3.889,4989412.4,510796.4
55,603855,华荣股份,3.03,17.68,17.19,18.0,17.05,17.16,11466945,13.85399,200975514,38.435,5.953,585331.76,146337.36
56,603843,正平股份,0.811,14.91,14.86,15.1,14.65,14.79,2796600,2.80502,41654757,55.222,4.937,596404.473,148652.7
57,603839,安正时尚,-1.117,26.55,26.98,27.07,26.5,26.85,1739051,2.44043,46534351,24.136,3.06,756781.2,189195.3
58,603838,四通股份,0.485,14.49,14.2,14.69,14.2,14.42,3382025,3.47659,48863713,65.864,5.682,386419.32,140958.72
59,603833,欧派家居,0.39,110.58,110.3,111.4,107.2,110.15,429208,1.03399,47326300,43.535,9.284,4590077.5165,459017.58
60,603828,柯利达,-2.016,20.41,20.95,20.95,20.33,20.83,696450,1.15843,14384817,72.893,3.581,377786.0385,122704.92
61,603826,坤彩科技,-1.265,18.73,18.99,19.17,18.61,18.97,4982311,5.5359,94037600,46.5,9.731,674280.0,168570.0
62,603823,百合花,-0.828,21.56,21.87,21.98,21.5,21.74,645935,1.43541,14021657,28.368,4.07,485100.0,97020.0
63,603822,嘉澳环保,-2.734,47.32,48.1,48.88,46.91,48.65,1963725,4.83676,93680775,74.181,5.572,347092.2,192119.2
64,603819,神力股份,-1.36,26.11,26.57,26.84,26.01,26.47,736445,2.45482,19384556,53.286,4.246,313320.0,78330.0
65,603818,曲美家居,0.13,15.43,15.58,15.58,15.32,15.41,571398,0.43417,8801907,40.605,5.309,746997.16,203071.144
66,603817,海峡环保,-1.538,17.92,18.13,18.26,17.85,18.2,2789365,2.47944,50335088,61.793,5.896,806400.0,201600.0
67,603816,顾家家居,-0.451,52.92,53.3,53.73,52.9,53.16,739005,0.89576,39429499,31.689,6.021,2182950.0,436590.0
68,603811,诚意药业,-0.559,37.34,37.77,37.9,37.3,37.55,476123,2.23532,17914217,34.897,5.507,318136.8,79534.2
69,603808,歌力思,-1.111,29.37,29.7,29.74,29.25,29.7,344875,0.41532,10140797,35.891,4.06,762042.97785,243884.382885
70,603806,福斯特,-0.547,32.7,32.92,33.2,32.63,32.88,422461,0.46831,13869662,15.498,2.658,1314540.0,294986.7
71,603803,瑞斯康达,-0.464,23.61,23.71,23.93,23.54,23.72,1761362,3.10099,41862385,33.729,5.304,994112.170077,134104.8
72,603800,道森股份,-1.37,22.32,22.65,22.85,22.2,22.63,2427000,3.59024,54607771,-77.312,5.063,464256.0,150883.2
73,603799,华友钴业,-0.518,55.69,55.8,56.77,54.45,55.98,16445808,6.06248,914838967,428.385,7.178,3300616.16361,1510713.768
74,603798,康普顿,-2.058,27.6,28.23,28.28,27.55,28.18,1077648,1.26188,29933989,22.81,3.358,552000.0,235704.0
