code,name,price,count,score,pe,pb,r,r1,r3,r5,roe2017-1,roe2016,roe2015,roe2014,roe2013,roe2012
A601166,兴业银行,15.9,5,12,4.9,0.9,19.07,17.09,18.39,20.16,4.29,15.38,16.0,18.27,20.62,20.47
A600016,民生银行,8.09,5,12,5.2,0.85,18.68,16.42,18.75,21.70,3.97,13.96,15.3,18.54,21.38,23.03
A600000,浦发银行,12.28,5,12,5.97,0.91,16.70,15.86,17.78,19.30,3.8,14.43,16.05,18.07,20.02,19.26
A601288,农业银行,3.47,5,12,5.06,0.88,18.55,15.85,17.53,19.40,4.08,13.95,14.92,17.4,19.72,19.35
A601398,工商银行,5.04,5,12,5.93,0.92,16.17,15.35,17.25,19.44,3.72,14.12,15.48,18.01,20.61,21.2
A000625,长安汽车,14.05,4,11,6.99,1.46,14.30,16.16,18.73,15.07,5.22,23.6,28.94,29.49,18.66,9.32
A000001,平安银行,9.14,3,10,6.3,0.83,14.41,13.46,15.99,16.67,2.99,11.17,13.53,15.12,13.58,15.8
A601998,中信银行,6.11,3,10,6.57,0.85,13.79,12.91,15.53,17.08,2.93,10.97,12.95,15.67,17.36,15.64
A600036,招商银行,21.17,2,9,6.65,1.26,15.05,12.24,13.01,14.49,4.74,15.42,15.99,17.78,19.49,22.58
A600048,保利地产,9.46,2,6,14.7,1.22,6.79,11.40,13.94,15.02,2.07,13.91,17.26,19.86,20.76,19.86
A600383,金地集团,10.64,1,4,13.72,1.25,7.26,13.46,10.41,10.53,2.27,16.83,9.52,12.69,12.39,14.39
A601668,中国建筑,9.29,1,4,9.84,1.41,10.16,11.12,11.21,11.37,3.58,15.68,15.51,16.23,17.28,15.44
A600104,上汽集团,29.27,1,4,10.27,1.57,9.76,10.62,10.92,11.00,3.83,16.67,17.01,17.74,18.0,16.96
A601633,长城汽车,13.05,1,3,15.36,2.44,6.49,9.14,9.20,10.10,3.96,22.3,21.02,24.03,29.37,26.45
A000002,万 科Ａ,21.18,0,3,83.46,2.04,1.20,9.08,8.90,9.19,0.61,18.53,18.08,17.85,19.66,19.66
A601318,中国平安,48.88,1,1,9.54,2.14,10.47,7.60,7.17,6.92,5.6,16.27,16.21,13.56,15.4,12.56
A000651,格力电器,37.74,1,0,13.98,3.88,7.14,7.38,7.48,7.53,6.93,28.62,26.37,32.05,31.43,27.59
A000895,双汇发展,22.78,0,0,20.95,4.88,4.77,6.35,5.63,5.49,5.82,31.01,25.34,26.05,26.89,24.58
A000333,美的集团,41.6,1,0,15.24,4.03,6.59,5.96,6.32,5.73,6.64,24.02,25.82,26.6,16.18,22.77
A600887,伊利股份,20.18,1,0,17.37,4.86,5.74,5.05,4.80,4.65,6.98,24.52,23.17,22.24,19.76,23.41
