code,name,price,count,score,pe,pb,r,r1,r3,r5,roe2017-1,roe2016,roe2015,roe2014,roe2013,roe2012
A601166,兴业银行,15.9,5,12,4.9,0.9,19.07,17.09,18.39,20.16,4.29,15.38,16.0,18.27,20.62,20.47
A600016,民生银行,8.09,5,12,5.2,0.85,18.68,16.42,18.75,21.70,3.97,13.96,15.3,18.54,21.38,23.03
A600000,浦发银行,12.31,5,12,5.97,0.91,16.70,15.86,17.78,19.30,3.8,14.43,16.05,18.07,20.02,19.26
A601288,农业银行,3.46,5,12,5.06,0.88,18.55,15.85,17.53,19.40,4.08,13.95,14.92,17.4,19.72,19.35
A601939,建设银行,6.17,5,12,5.51,0.95,17.98,15.45,17.16,18.85,4.27,14.68,15.9,18.34,20.13,20.51
A601398,工商银行,5.04,5,12,5.93,0.92,16.17,15.35,17.25,19.44,3.72,14.12,15.48,18.01,20.61,21.2
A601818,光大银行,3.96,5,12,5.37,0.79,16.51,15.32,17.49,20.14,3.26,12.1,13.21,16.13,17.47,20.66
A000625,长安汽车,14.01,4,11,6.99,1.46,14.30,16.16,18.73,15.07,5.22,23.6,28.94,29.49,18.66,9.32
A600015,华夏银行,10.68,4,11,6.35,0.84,13.76,15.38,18.52,19.51,2.89,12.92,16.04,17.72,18.15,17.13
A601988,中国银行,3.62,4,11,5.71,0.79,16.25,14.75,16.71,18.60,3.21,11.65,13.09,14.86,16.98,16.9
A601328,交通银行,6.11,4,11,5.85,0.77,15.43,13.87,16.05,17.48,2.97,10.68,12.43,13.97,14.84,15.36
A000001,平安银行,9.13,3,10,6.3,0.83,14.41,13.46,15.99,16.67,2.99,11.17,13.53,15.12,13.58,15.8
A601998,中信银行,6.11,3,10,6.57,0.85,13.79,12.91,15.53,17.08,2.93,10.97,12.95,15.67,17.36,15.64
A600036,招商银行,21.16,2,9,6.65,1.26,15.05,12.24,13.01,14.49,4.74,15.42,15.99,17.78,19.49,22.58
A601169,北京银行,8.88,1,7,6.21,1.05,14.10,11.92,13.73,14.62,3.7,12.52,14.44,16.29,17.23,16.3
A601009,南京银行,10.8,1,7,6.65,1.21,12.66,11.02,12.14,12.77,3.83,13.34,13.45,17.28,16.91,16.29
A600048,保利地产,9.49,2,6,14.7,1.22,6.79,11.40,13.94,15.02,2.07,13.91,17.26,19.86,20.76,19.86
A600177,雅戈尔,9.99,1,6,7.15,1.57,13.94,10.33,12.11,9.96,5.47,16.22,21.69,19.13,9.75,11.41
A002142,宁波银行,17.49,1,5,7.25,1.46,12.52,10.64,10.63,11.50,4.57,15.53,14.54,16.5,19.0,18.39
A000540,中天金融,6.53,1,5,8.04,1.89,12.44,10.43,10.99,11.92,5.88,19.71,20.66,21.96,31.78,18.52
A600383,金地集团,10.66,1,4,13.72,1.25,7.26,13.46,10.41,10.53,2.27,16.83,9.52,12.69,12.39,14.39
A601668,中国建筑,9.25,1,4,9.84,1.41,10.16,11.12,11.21,11.37,3.58,15.68,15.51,16.23,17.28,15.44
A600104,上汽集团,29.38,1,4,10.27,1.57,9.76,10.62,10.92,11.00,3.83,16.67,17.01,17.74,18.0,16.96
A600741,华域汽车,22.82,1,4,11.61,1.8,8.58,8.86,9.69,9.67,3.86,15.94,17.54,18.86,18.58,16.1
A600208,新湖中宝,4.64,0,3,26.39,1.37,3.77,14.66,7.43,8.25,1.29,20.09,4.81,5.62,7.62,18.36
A002146,荣盛发展,10.41,0,3,24.37,1.85,4.09,9.47,9.47,11.38,1.89,17.52,11.76,23.27,26.52,26.18
A600060,海信电器,14.82,1,3,17.96,1.43,5.57,9.33,9.04,10.22,1.99,13.34,12.52,12.93,16.0,18.25
A000069,华侨城Ａ,9.24,0,3,25.37,1.72,3.93,9.16,8.70,9.62,1.69,15.75,12.18,16.97,18.47,19.32
A601633,长城汽车,13.06,1,3,15.36,2.44,6.49,9.14,9.20,10.10,3.96,22.3,21.02,24.03,29.37,26.45
A000002,万 科Ａ,21.04,0,3,83.46,2.04,1.20,9.08,8.90,9.19,0.61,18.53,18.08,17.85,19.66,19.66
A601186,中国铁建,11.77,1,3,13.85,1.19,7.19,8.97,9.65,9.92,2.14,10.67,11.32,12.47,12.77,11.78
A600674,川投能源,9.51,1,3,12.98,1.96,7.71,8.73,10.46,8.10,3.78,17.12,21.27,23.12,13.02,4.82
A600023,浙能电力,5.42,1,3,19.68,1.24,5.06,8.69,9.95,10.57,1.57,10.77,12.54,13.71,15.92,12.58
A600153,建发股份,12.03,0,3,20.21,1.56,4.92,8.50,8.93,10.86,1.92,13.26,13.83,14.68,21.45,21.51
A000402,金 融 街,11.32,1,3,15.77,1.2,6.33,8.42,8.62,9.24,1.9,10.1,8.84,12.08,12.97,11.46
A601006,大秦铁路,8.13,1,3,9.55,1.3,10.43,6.14,10.02,11.07,3.39,7.98,14.19,16.92,16.46,16.38
A601225,陕西煤业,6.51,2,3,6.15,1.76,16.20,4.55,0.22,3.87,7.13,8.01,-9.58,2.75,11.27,21.64
A002714,牧原股份,26.32,1,2,11.22,4.29,10.00,9.56,4.82,5.52,10.72,41.01,16.91,4.11,24.17,32.14
A600688,上海石化,6.46,1,2,9.06,2.62,11.02,9.18,4.59,2.88,7.22,24.06,16.36,-4.32,11.23,-9.56
A600066,宇通客车,21.06,0,2,36.55,3.33,2.73,8.94,8.15,7.41,2.27,29.76,27.48,24.18,20.83,21.18
A600019,宝钢股份,6.55,1,2,9.37,0.92,10.70,8.03,4.83,6.07,2.46,7.39,0.89,5.06,5.26,9.32
A600340,华夏幸福,34.79,1,2,14.34,3.24,6.96,7.90,10.00,11.07,5.64,25.59,35.49,36.12,40.82,41.32
A600585,海螺水泥,20.75,1,2,12.98,1.42,7.66,7.84,9.01,9.58,2.72,11.13,10.66,16.6,16.71,12.89
A600886,国投电力,7.81,1,2,14.23,1.79,7.02,7.63,10.85,9.47,3.14,13.65,20.42,24.2,17.9,8.57
A600376,首开股份,11.14,0,2,44.8,0.93,2.19,7.37,9.89,10.58,0.51,6.85,9.45,11.3,9.23,12.38
A601877,正泰电器,19.0,0,2,28.8,2.28,3.47,7.16,10.62,11.39,1.98,16.32,25.99,30.34,29.36,27.78
A600352,浙江龙盛,9.26,1,2,14.96,1.85,6.68,7.02,9.73,8.60,3.09,12.98,18.39,22.64,14.72,10.85
